GROUP,HIGH PAY,INSTRUCT,COMPLETE
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,1
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low,0,0,0
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,1
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
Low+Inst,0,1,0
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,1
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High,1,0,0
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,1
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
High+Inst,1,1,0
